iter	Logloss
0	0.6235106225
1	0.5774264881
2	0.5537922191
3	0.53536413
4	0.5203398448
5	0.5080600294
6	0.4983519097
7	0.4882733832
8	0.4809789156
9	0.4755493882
10	0.468383719
11	0.463341391
12	0.4579149291
13	0.4549937661
14	0.4511481964
15	0.4482182359
16	0.4463572316
17	0.4427641533
18	0.4416407264
19	0.4403482909
20	0.4373703923
21	0.4350175405
22	0.4341894835
23	0.4329391547
24	0.4324739704
25	0.4318815424
26	0.4312919491
27	0.4307309818
28	0.430139663
29	0.4294165577
30	0.4291331591
31	0.4288014007
32	0.4281211224
33	0.4278045328
34	0.4271564034
35	0.4269119874
36	0.4266712102
37	0.4264272576
38	0.4262299924
39	0.4260640788
40	0.4254499752
41	0.4250579401
42	0.4248530831
43	0.4247469005
44	0.4245601668
45	0.4243998897
46	0.4243118534
47	0.4241861974
48	0.4240583978
49	0.4239471113
50	0.4236317364
51	0.4235286791
52	0.4234282434
53	0.4228541222
54	0.4227591754
55	0.4226387352
56	0.422401248
57	0.4222935141
58	0.4221976542
59	0.4220400116
60	0.4219421291
61	0.4218218859
62	0.421760192
63	0.4216119994
64	0.4215387696
65	0.4214667329
66	0.4214102875
67	0.4213405512
68	0.42128592
69	0.4212334364
70	0.4211661931
71	0.4209197436
72	0.4208293105
73	0.4207806715
74	0.420708335
75	0.4206089014
76	0.4205040095
77	0.4204459831
78	0.4202915541
79	0.4202218784
80	0.4201593811
81	0.4201097993
82	0.4200600257
83	0.4199845003
84	0.4199287177
85	0.4198496625
86	0.4198041406
87	0.4196386191
88	0.4194809494
89	0.4189739444
90	0.4189103153
91	0.4188801361
92	0.4188402
93	0.4187978563
94	0.4187559525
95	0.4187225061
96	0.418676323
97	0.4186231312
98	0.418578096
99	0.4184311978
