iter	Passed	Remaining
0	19	1912
1	36	1794
2	53	1741
3	69	1663
4	85	1617
5	104	1643
6	121	1620
7	137	1576
8	152	1545
9	170	1532
10	186	1505
11	203	1489
12	222	1486
13	240	1474
14	256	1455
15	273	1438
16	292	1426
17	309	1411
18	326	1393
19	342	1371
20	362	1362
21	381	1354
22	404	1354
23	422	1337
24	438	1316
25	455	1297
26	475	1285
27	496	1275
28	516	1265
29	533	1245
30	554	1233
31	573	1218
32	591	1201
33	610	1184
34	628	1167
35	646	1149
36	663	1129
37	683	1115
38	701	1097
39	718	1077
40	736	1060
41	754	1042
42	774	1027
43	791	1007
44	810	990
45	829	974
46	847	956
47	868	941
48	885	921
49	903	903
50	922	886
51	940	868
52	960	851
53	979	834
54	999	817
55	1019	801
56	1041	786
57	1059	767
58	1077	749
59	1100	733
60	1119	715
61	1139	698
62	1161	682
63	1179	663
64	1199	645
65	1219	628
66	1237	609
67	1256	591
68	1274	572
69	1294	554
70	1310	535
71	1330	517
72	1350	499
73	1370	481
74	1386	462
75	1408	444
76	1426	426
77	1446	408
78	1466	389
79	1483	370
80	1502	352
81	1522	334
82	1540	315
83	1562	297
84	1581	279
85	1601	260
86	1621	242
87	1640	223
88	1659	205
89	1677	186
90	1696	167
91	1715	149
92	1737	130
93	1760	112
94	1782	93
95	1801	75
96	1821	56
97	1841	37
98	1857	18
99	1874	0
