iter	Logloss
0	0.6541660198
1	0.6178356761
2	0.5861691311
3	0.5570665898
4	0.5309892267
5	0.5095418253
6	0.4905523899
7	0.4742881357
8	0.4601319842
9	0.4445221572
10	0.4321062146
11	0.4188696151
12	0.4112596801
13	0.4003588881
14	0.3910627385
15	0.3814352119
16	0.3729736315
17	0.3666287627
18	0.3488452264
19	0.3438101715
20	0.3384571324
21	0.3342524032
22	0.3284018918
23	0.3237587616
24	0.3198662388
25	0.3157691603
26	0.3100401037
27	0.306336738
28	0.3018166535
29	0.2979171408
30	0.2946171631
31	0.291323723
32	0.2885294197
33	0.2855054201
34	0.2796198555
35	0.2749273576
36	0.2714973661
37	0.2690753952
38	0.2677236636
39	0.2651012361
40	0.2631584789
41	0.2603031131
42	0.2578842419
43	0.2546208068
44	0.252012424
45	0.2508053876
46	0.2491382342
47	0.2475651664
48	0.2460056435
49	0.243812369
50	0.2424514087
51	0.2407849992
52	0.2392402423
53	0.237606469
54	0.2346167716
55	0.2337023908
56	0.2325614731
57	0.2315672858
58	0.2290959957
59	0.2280371168
60	0.2266281343
61	0.225437717
62	0.2243316587
63	0.2225862683
64	0.2215830564
65	0.2206405334
66	0.2189008989
67	0.2175844499
68	0.217024152
69	0.2147542312
70	0.2136622874
71	0.2129378326
72	0.2114367029
73	0.2102289446
74	0.2090953703
75	0.2082271387
76	0.207533105
77	0.2068113666
78	0.2062406395
79	0.2057030613
80	0.2047176721
81	0.2041597608
82	0.2032277467
83	0.2023672035
84	0.2010336272
85	0.2002422007
86	0.1988107894
87	0.1983307554
88	0.1972787669
89	0.196626488
90	0.1958176767
91	0.1950128762
92	0.1945440999
93	0.1939277658
94	0.1924548789
95	0.1918412527
96	0.1911519517
97	0.1905808272
98	0.1893128732
99	0.1885452087
100	0.1878958316
101	0.187134548
102	0.1863936408
103	0.1856862401
104	0.1851193865
105	0.1842539097
106	0.183538374
107	0.1827457059
108	0.1822157246
109	0.1807510829
110	0.1804393177
111	0.1798870297
112	0.1795426312
113	0.1788132131
114	0.1783351103
115	0.1769774762
116	0.1759030581
117	0.1751520094
118	0.174403946
119	0.1738014945
120	0.1734377668
121	0.1730610312
122	0.1728805056
123	0.1724220201
124	0.1721017903
125	0.1715602078
126	0.1709215494
127	0.1706360929
128	0.168645495
129	0.1681670637
130	0.1674838634
131	0.167228643
132	0.1668309765
133	0.1663646543
134	0.1657716617
135	0.1649384973
136	0.1641993719
137	0.1638578282
138	0.1635743056
139	0.1632391033
140	0.1623403841
141	0.1618762592
142	0.1614623172
143	0.1606121783
144	0.1598943574
145	0.1594540362
146	0.1590434623
147	0.1585097769
148	0.1576690645
149	0.1573545063
150	0.1568667386
151	0.1565346277
152	0.156030036
153	0.1554773081
154	0.154659213
155	0.154213478
156	0.1538516838
157	0.1533768696
158	0.1529925651
159	0.1525810375
160	0.1519381932
161	0.1515383227
162	0.1510316866
163	0.1506661269
164	0.1503280422
165	0.1499923795
166	0.1497448109
167	0.1493648015
168	0.1490611475
169	0.1484374186
170	0.1481045852
171	0.1478989309
172	0.1476250248
173	0.1470795263
174	0.1466932781
175	0.1463253649
176	0.1461193225
177	0.1455340517
178	0.1451322296
179	0.1445911218
180	0.1443724099
181	0.1440160491
182	0.1433695636
183	0.1430541636
184	0.1427949479
185	0.1423638607
186	0.1422127876
187	0.1417102287
188	0.1408320484
189	0.139952504
190	0.1394482612
191	0.1390512786
192	0.1385867819
193	0.1380391377
194	0.1371414625
195	0.136836735
196	0.1366297793
197	0.1360559287
198	0.1359096587
199	0.1354324998
200	0.1349507131
201	0.1347262585
202	0.1344667908
203	0.1340840297
204	0.1337633213
205	0.1332624927
206	0.1329883866
207	0.1325457042
208	0.1323267922
209	0.1316864197
210	0.1311689931
211	0.1309025864
212	0.1306073822
213	0.1302223265
214	0.1299178468
215	0.1296004696
216	0.1293345098
217	0.1290248949
218	0.1284656214
219	0.1281761103
220	0.1277944134
221	0.1274202088
222	0.1271638918
223	0.1268642774
224	0.1266378394
225	0.1261595058
226	0.1257850755
227	0.1251424586
228	0.1245554861
229	0.1242806376
230	0.1241137319
231	0.1235602537
232	0.1229181297
233	0.1224939473
234	0.1219659925
235	0.1216855033
236	0.1214661107
237	0.1212437299
238	0.1207108792
239	0.1204415085
240	0.1198442295
241	0.1193534863
242	0.1186087062
243	0.1183905561
244	0.118038393
245	0.1177432653
246	0.1171784408
247	0.116715132
248	0.115997206
249	0.1155184225
250	0.1145344626
251	0.1141821703
252	0.1137175582
253	0.1133127286
254	0.1124481729
255	0.1120972324
256	0.1117927892
257	0.1111460527
258	0.1109327977
259	0.1104571357
260	0.1100744407
261	0.1096414803
262	0.1093821406
263	0.1087969296
264	0.1082491825
265	0.1078450893
266	0.1074798098
267	0.1070082912
268	0.1065956045
269	0.1062818672
270	0.1060926896
271	0.1059129045
272	0.1055803192
273	0.1053734999
274	0.1047796681
275	0.1044682207
276	0.1038098866
277	0.1035238148
278	0.103054973
279	0.1026401314
280	0.1022460598
281	0.1019947446
282	0.1015324656
283	0.1011327231
284	0.1006858902
285	0.1002631684
286	0.09973094835
287	0.09924080239
288	0.0989651738
289	0.09859105785
290	0.09834332115
291	0.09810915456
292	0.09774573093
293	0.09752120375
294	0.09712761837
295	0.09688108374
296	0.09666828149
297	0.09630757735
298	0.09605843866
299	0.09569829316
