iter	Passed	Remaining
0	51	15544
1	101	15147
2	145	14374
3	188	13927
4	234	13863
5	282	13848
6	328	13745
7	378	13817
8	424	13718
9	469	13615
10	515	13551
11	563	13512
12	611	13495
13	660	13489
14	710	13490
15	757	13438
16	805	13412
17	856	13425
18	907	13417
19	957	13411
20	1007	13386
21	1055	13335
22	1101	13264
23	1149	13220
24	1195	13148
25	1242	13099
26	1294	13088
27	1343	13054
28	1393	13023
29	1442	12985
30	1495	12973
31	1542	12922
32	1597	12922
33	1651	12924
34	1710	12951
35	1763	12932
36	1815	12908
37	1864	12857
38	1914	12811
39	1966	12781
40	2016	12740
41	2065	12689
42	2119	12665
43	2171	12635
44	2221	12586
45	2270	12536
46	2320	12490
47	2370	12446
48	2418	12389
49	2467	12336
50	2516	12287
51	2563	12225
52	2613	12178
53	2663	12135
54	2714	12092
55	2766	12054
56	2813	11995
57	2861	11939
58	2910	11886
59	2959	11839
60	3010	11794
61	3060	11749
62	3110	11701
63	3157	11643
64	3206	11591
65	3255	11541
66	3304	11491
67	3353	11442
68	3401	11388
69	3449	11335
70	3497	11280
71	3544	11224
72	3594	11175
73	3642	11124
74	3691	11073
75	3740	11023
76	3786	10966
77	3834	10913
78	3879	10853
79	3923	10790
80	3971	10736
81	4018	10682
82	4064	10626
83	4113	10577
84	4159	10521
85	4204	10463
86	4254	10416
87	4301	10363
88	4349	10311
89	4395	10256
90	4443	10206
91	4498	10169
92	4548	10124
93	4597	10074
94	4644	10022
95	4696	9979
96	4749	9939
97	4797	9889
98	4847	9842
99	4895	9790
100	4942	9739
101	4989	9685
102	5038	9637
103	5089	9591
104	5141	9547
105	5187	9493
106	5235	9443
107	5284	9395
108	5335	9349
109	5385	9301
110	5430	9245
111	5479	9198
112	5529	9150
113	5579	9102
114	5629	9056
115	5680	9010
116	5730	8963
117	5780	8916
118	5830	8868
119	5879	8819
120	5919	8756
121	5964	8702
122	6010	8649
123	6061	8603
124	6106	8549
125	6155	8500
126	6204	8451
127	6255	8405
128	6303	8355
129	6350	8304
130	6400	8257
131	6448	8206
132	6496	8156
133	6545	8108
134	6593	8059
135	6643	8011
136	6696	7967
137	6746	7920
138	6791	7866
139	6830	7806
140	6876	7754
141	6923	7703
142	6972	7655
143	7019	7603
144	7067	7555
145	7116	7506
146	7166	7458
147	7214	7409
148	7263	7360
149	7311	7311
150	7358	7261
151	7404	7209
152	7453	7161
153	7499	7110
154	7544	7057
155	7591	7007
156	7638	6957
157	7687	6909
158	7737	6861
159	7788	6815
160	7838	6767
161	7884	6716
162	7933	6668
163	7983	6620
164	8033	6572
165	8077	6520
166	8126	6472
167	8173	6421
168	8221	6372
169	8272	6325
170	8319	6276
171	8366	6226
172	8408	6172
173	8452	6121
174	8494	6067
175	8537	6015
176	8581	5963
177	8623	5910
178	8670	5861
179	8715	5810
180	8759	5758
181	8806	5709
182	8853	5660
183	8902	5612
184	8948	5562
185	8996	5513
186	9047	5467
187	9101	5422
188	9152	5375
189	9204	5328
190	9252	5280
191	9306	5235
192	9357	5187
193	9407	5140
194	9462	5095
195	9506	5044
196	9551	4994
197	9594	4942
198	9639	4892
199	9687	4843
200	9736	4795
201	9782	4746
202	9830	4697
203	9879	4649
204	9930	4601
205	9978	4553
206	10023	4503
207	10072	4455
208	10122	4407
209	10171	4359
210	10219	4310
211	10266	4261
212	10316	4213
213	10361	4164
214	10409	4115
215	10453	4065
216	10501	4016
217	10550	3968
218	10599	3920
219	10648	3872
220	10696	3823
221	10745	3775
222	10791	3726
223	10839	3677
224	10889	3629
225	10938	3581
226	10986	3533
227	11037	3485
228	11089	3438
229	11140	3390
230	11193	3343
231	11241	3294
232	11288	3246
233	11334	3196
234	11381	3148
235	11426	3098
236	11474	3050
237	11522	3001
238	11572	2953
239	11618	2904
240	11668	2856
241	11722	2809
242	11768	2760
243	11816	2712
244	11864	2663
245	11914	2615
246	11964	2567
247	12013	2518
248	12067	2471
249	12115	2423
250	12164	2374
251	12211	2326
252	12259	2277
253	12309	2229
254	12358	2180
255	12406	2132
256	12456	2084
257	12506	2035
258	12553	1987
259	12598	1938
260	12646	1889
261	12694	1841
262	12740	1792
263	12787	1743
264	12836	1695
265	12887	1647
266	12937	1598
267	12985	1550
268	13032	1501
269	13078	1453
270	13125	1404
271	13172	1355
272	13219	1307
273	13263	1258
274	13315	1210
275	13361	1161
276	13404	1112
277	13449	1064
278	13495	1015
279	13543	967
280	13592	919
281	13641	870
282	13690	822
283	13737	773
284	13784	725
285	13830	677
286	13882	628
287	13931	580
288	13976	531
289	14021	483
290	14069	435
291	14118	386
292	14167	338
293	14213	290
294	14259	241
295	14306	193
296	14352	144
297	14401	96
298	14447	48
299	14494	0
